#####################################################################################################
model   |   iters  |    violations      |  results                  |   Mean compute time for 1 iter
#####################################################################################################

2-25    |   500    |      0/1           |   2_agents_25.jpg         |   0.008484370722799358
2-50    |   500    |      0/1           |   2_agents_50.jpg         |   0.008494865918207264
4-15    |   500    |      0/6           |   4_agents_15.jpg         |   0.008573104957779328
4-25-pty|   500    |      3/6           |   4_agents_25.jpg         |   0.008449549665431938
4-35-pty|   500    |      3/6           |   4_agents_35.jpg         |   0.008366841830328136
8-10    |   500    |      0/28          |   8_agents_10.jpg         |   0.008609701015189559
8-12    |   500    |      0/28          |   8_agents_12.jpg         |   0.00848163010362155
8-15    |   500    |      0/28          |   8_agents_15.jpg         |   0.008952279845793883
8-30    |   500    |      0/28          |   8_agents_30.jpg         |   0.008761960662199643
8-60    |   500    |      0/28          |   8_agents_60.jpg         |   0.008645400733412627
8-120   |   500    |      0/28          |   8_agents_120.jpg        |   0.007739522414121455
16-15   |   500    |      8/120         |   16_agents_15.jpg        |   0.0082423663091564
16-20   |   500    |      10/120        |   16_agents_20.jpg        |   0.008219652519914095
16-25   |   500    |      11/120        |   16_agents_25.jpg        |   0.007240649454579325
16-30   |   500    |      12/120        |   16_agents_30.jpg        |   0.007161674614181978
16-35   |   500    |      12/120        |   16_agents_35.jpg        |   0.006364997737632247
32-12   |   500    |      34/496        |   32_agents_12.jpg        |   0.020323977919523128
32-15   |   500    |      32/496        |   32_agents_15.jpg        |   0.02010830466398495
64-12   |   500    |      123/2016      |   64_agents_12.jpg        |   0.04186842580118733
64-15   |   500    |      128/2016      |   64_agents_15.jpg        |   0.04189712920026454 
64-20   |   500    |      164/2016      |   64_agents_20.jpg        |   0.041984785057022
